indice_global,indice_estricto,título,director,año,duración,género,rating,metascore,recaudación(M)
453,178.0,Drishyam 2,Abhishek Pathak,2022.0,140.0,Crimen,8.2,0.0,0.0
454,178.0,Drishyam 2,Abhishek Pathak,2022.0,140.0,Drama,8.2,0.0,0.0
455,178.0,Drishyam 2,Abhishek Pathak,2022.0,140.0,Misterio,8.2,0.0,0.0
461,182.0,Andhadhun,Sriram Raghavan,2018.0,139.0,Crimen,8.2,0.0,1.37
462,182.0,Andhadhun,Sriram Raghavan,2018.0,139.0,Misterio,8.2,0.0,1.37
463,182.0,Andhadhun,Sriram Raghavan,2018.0,139.0,Thriller,8.2,0.0,1.37
482,189.0,Tumbbad,Rahi Anil Barve,2018.0,104.0,Drama,8.2,0.0,0.0
483,189.0,Tumbbad,Rahi Anil Barve,2018.0,104.0,Fantasía,8.2,0.0,0.0
484,189.0,Tumbbad,Rahi Anil Barve,2018.0,104.0,Terror,8.2,0.0,0.0
488,191.0,Miracle in Cell No. 7,Mehmet Ada Ã–ztekin,2019.0,132.0,Drama,8.2,0.0,0.0
497,196.0,Uri: The Surgical Strike,Aditya Dhar,2019.0,138.0,Acción,8.2,0.0,4.19
498,196.0,Uri: The Surgical Strike,Aditya Dhar,2019.0,138.0,Drama,8.2,0.0,4.19
499,196.0,Uri: The Surgical Strike,Aditya Dhar,2019.0,138.0,Historia,8.2,0.0,4.19
505,199.0,K.G.F: Chapter 1,Prashanth Neel,2018.0,156.0,Acción,8.2,0.0,0.0
506,199.0,K.G.F: Chapter 1,Prashanth Neel,2018.0,156.0,Crimen,8.2,0.0,0.0
507,199.0,K.G.F: Chapter 1,Prashanth Neel,2018.0,156.0,Drama,8.2,0.0,0.0
526,207.0,Rangasthalam 1985,Sukumar,2018.0,170.0,Acción,8.2,0.0,3.51
527,207.0,Rangasthalam 1985,Sukumar,2018.0,170.0,Drama,8.2,0.0,3.51
554,217.0,Ford v Ferrari,James Mangold,2019.0,152.0,Acción,8.1,81.0,117.62
555,217.0,Ford v Ferrari,James Mangold,2019.0,152.0,Biografía,8.1,81.0,117.62
556,217.0,Ford v Ferrari,James Mangold,2019.0,152.0,Drama,8.1,81.0,117.62
638,250.0,Portrait of a Lady on Fire,CÃ©line Sciamma,2019.0,122.0,Drama,8.1,95.0,3.76
822,328.0,Article 15,Anubhav Sinha,2019.0,130.0,Crimen,8.1,0.0,0.0
823,328.0,Article 15,Anubhav Sinha,2019.0,130.0,Drama,8.1,0.0,0.0
824,328.0,Article 15,Anubhav Sinha,2019.0,130.0,Misterio,8.1,0.0,0.0
859,343.0,Dune,Denis Villeneuve,2021.0,155.0,Acción,8.0,74.0,108.33
860,343.0,Dune,Denis Villeneuve,2021.0,155.0,Aventura,8.0,74.0,108.33
861,343.0,Dune,Denis Villeneuve,2021.0,155.0,Drama,8.0,74.0,108.33
910,362.0,CODA,Sian Heder,2021.0,111.0,Comedia,8.0,72.0,0.0
911,362.0,CODA,Sian Heder,2021.0,111.0,Drama,8.0,72.0,0.0
912,362.0,CODA,Sian Heder,2021.0,111.0,Musica,8.0,72.0,0.0
921,367.0,Soul,Pete Docter,2020.0,100.0,Animación,8.0,83.0,0.0
922,367.0,Soul,Pete Docter,2020.0,100.0,Aventura,8.0,83.0,0.0
923,367.0,Soul,Pete Docter,2020.0,100.0,Comedia,8.0,83.0,0.0
